budget,revenue,id,original_title,title
0,0.0,146599,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored
0,0.0,188588,Last Summer in the Hamptons,Last Summer in the Hamptons
0,0.0,8447,Angels and Insects,Angels and Insects
38000000,10300000.0,10534,White Squall,White Squall
16000000,0.0,17414,Dunston Checks In,Dunston Checks In
0,32.0,13997,Black Sheep,Black Sheep
8169363,8175346.0,2086,Nick of Time,Nick of Time
0,0.0,61548,The Journey of August King,The Journey of August King
47000000,12379402.0,9095,Mary Reilly,Mary Reilly
14000000,19800000.0,12158,Vampire in Brooklyn,Vampire in Brooklyn
0,0.0,9283,Beautiful Girls,Beautiful Girls
50000000,150270147.0,9208,Broken Arrow,Broken Arrow
0,0.0,40154,A Midwinter's Tale,A Midwinter's Tale
3000000,0.0,406,La Haine,La Haine
0,0.0,45549,Shopping,Shopping
0,0.0,63076,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam
0,0.0,11062,City Hall,City Hall
7000000,560069.0,13685,Bottle Rocket,Bottle Rocket
0,0.0,47475,Mr. Wrong,Mr. Wrong
18000000,0.0,2045,Unforgettable,Unforgettable
12000000,41205099.0,9614,Happy Gilmore,Happy Gilmore
24000000,182016617.0,688,The Bridges of Madison County,The Bridges of Madison County
0,0.0,11907,Keiner liebt mich,Nobody Loves Me
0,34327391.0,10874,Muppet Treasure Island,Muppet Treasure Island
0,0.0,89333,Catwalk,Catwalk
0,0.0,96357,Headless Body in Topless Bar,Headless Body in Topless Bar
72000000,210000000.0,197,Braveheart,Braveheart
1300000,28262574.0,103,Taxi Driver,Taxi Driver
7500000,32392047.0,33542,紅番區,Rumble in the Bronx
35000000,0.0,43566,Before and After,Before and After
0,0.0,71754,Margaret's Museum,Margaret's Museum
13365000,0.0,43612,Le Bonheur est dans le pré,Happiness Is in the Field
0,1.0,51352,Anne Frank Remembered,Anne Frank Remembered
0,0.0,16934,The Young Poisoner's Handbook,The Young Poisoner's Handbook
0,0.0,10324,If Lucy Fell,If Lucy Fell
25000000,6278139.0,78406,Steal Big Steal Little,Steal Big Steal Little
0,0.0,55731,Race the Sun,Race the Sun
0,0.0,32119,The Boys of St. Vincent,The Boys of St. Vincent
40000000,70100000.0,11066,Boomerang,Boomerang
0,0.0,11104,重慶森林,Chungking Express
0,0.0,37975,L'uomo delle stelle,The Star Maker
7000000,14702438.0,2074,Flirting with Disaster,Flirting with Disaster
17000000,0.0,27793,The NeverEnding Story III,The Neverending Story III: Escape from Fantasia
0,0.0,44284,صمت القصور,The Silences of the Palace
0,0.0,290157,Jupiter's Wife,Jupiter's Wife
0,0.0,110972,Pie in the Sky,Pie in the Sky
0,0.0,32622,Angela,Angela
0,0.0,73067,Frankie Starlight,Frankie Starlight
50000000,9851610.0,11863,Jade,Jade
0,0.0,55475,Nueba Yol,Nueba Yol
0,0.0,124636,Sonic Outlaws,Sonic Outlaws
0,0.0,9101,Down Periscope,Down Periscope
0,0.0,123360,From the Journals of Jean Seberg,From the Journals of Jean Seberg
0,209935.0,5757,Man of the Year,Man of the Year
0,0.0,39428,The Neon Bible,The Neon Bible
0,0.0,124639,Target,Target
60000000,0.0,9302,Up Close & Personal,Up Close & Personal
31000000,185260553.0,11000,The Birdcage,The Birdcage
0,0.0,249882,Gospa,Virgin Mary
0,0.0,16388,The Brothers McMullen,The Brothers McMullen
19000000,141407024.0,9737,Bad Boys,Bad Boys
0,0.0,30765,The Amazing Panda Adventure,The Amazing Panda Adventure
0,0.0,10474,The Basketball Diaries,The Basketball Diaries
4000000,851545.0,22279,An Awfully Big Adventure,An Awfully Big Adventure
0,0.0,30157,Amateur,Amateur
52000000,355237933.0,568,Apollo 13,Apollo 13
28000000,31596911.0,11780,Rob Roy,Rob Roy
0,0.0,34996,The Addiction,The Addiction
100000000,336529144.0,414,Batman Forever,Batman Forever
0,0.0,649,Belle de jour,Belle de Jour
0,0.0,1873,Beyond Rangoon,Beyond Rangoon
2000000,1275000.0,5894,Blue in the Face,Blue in the Face
11000000,178104.0,1775,Canadian Bacon,Canadian Bacon
50000000,287928194.0,8839,Casper,Casper
25000000,13071518.0,20649,Clockers,Clockers
50000000,152022101.0,10329,Congo,Congo
53000000,157387195.0,8963,Crimson Tide,Crimson Tide
0,3174695.0,26564,Crumb,Crumb
7000000,25405445.0,8068,Desperado,Desperado
27000000,16140822.0,8512,Devil in a Blue Dress,Devil in a Blue Dress
90000000,366101666.0,1572,Die Hard: With a Vengeance,Die Hard: With a Vengeance
0,0.0,13552,The Doom Generation,The Doom Generation
0,0.0,259209,Feast of July,Feast of July
55000000,127600435.0,6520,First Knight,First Knight
0,0.0,9073,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home
20000000,7563728.0,10428,Hackers,Hackers
0,0.0,17447,Jeffrey,Jeffrey
25000000,19075720.0,9886,Johnny Mnemonic,Johnny Mnemonic
90000000,113493481.0,9482,Judge Dredd,Judge Dredd
0,17014653.0,19326,Jury Duty,Jury Duty
1500000,7412216.0,9344,Kids,Kids
500000,1148752.0,9071,Living in Oblivion,Living in Oblivion
0,0.0,8973,Lord of Illusions,Lord of Illusions
0,0.0,15730,Love & Human Remains,Love & Human Remains
0,15453274.0,47608,Mad Love,Mad Love
6000000,2122561.0,2293,Mallrats,Mallrats
15000000,66000000.0,9070,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie
0,0.0,68274,Moonlight and Valentino,Moonlight and Valentino
2,1.0,48787,Mute Witness,Mute Witness
0,0.0,34574,Nadja,Nadja
22000000,110627965.0,1642,The Net,The Net
0,69660733.0,11472,Nine Months,Nine Months
150000,472370.0,36196,Party Girl,Party Girl
8,16.0,11980,The Prophecy,The Prophecy
0,0.0,58372,Reckless,Reckless
0,0.0,32646,Safe,Safe
50000000,10382407.0,10533,The Scarlet Letter,The Scarlet Letter
0,0.0,56088,The Show,The Show
45000000,20350754.0,10802,Showgirls,Showgirls
7000000,8349430.0,10149,Smoke,Smoke
0,50892160.0,18402,Something to Talk About,Something to Talk About
35000000,113374103.0,9348,Species,Species
0,0.0,139408,The Stars Fell on Henrietta,The Stars Fell on Henrietta
42000000,7959291.0,281,Strange Days,Strange Days
0,0.0,5967,Les parapluies de Cherbourg,The Umbrellas of Cherbourg
14000000,5780000.0,79593,The Tie That Binds,The Tie That Binds
0,7025496.0,47939,Three Wishes,Three Wishes
0,339889.0,36834,Total Eclipse,Total Eclipse
0,47774193.0,9090,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar"
60000000,104324083.0,3512,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory
0,0.0,52856,Unstrung Heroes,Unstrung Heroes
0,0.0,77350,Unzipped,Unzipped
20000000,50012507.0,9560,A Walk in the Clouds,A Walk in the Clouds
175000000,264218220.0,9804,Waterworld,Waterworld
8000000,0.0,31611,White Man's Burden,White Man's Burden
30000000,0.0,65796,Wild Bill,Wild Bill
0,0.0,49805,The Browning Version,The Browning Version
0,0.0,26258,Bushwhacked,Bushwhacked
2800000,2616503.0,50797,Утомлённые солнцем,Burnt by the Sun
0,763847.0,19155,Before the Rain,Before the Rain
2500000,5535405.0,76,Before Sunrise,Before Sunrise
10000000,26488734.0,11017,Billy Madison,Billy Madison
0,0.0,37141,The Babysitter,The Babysitter
21000000,23450000.0,9382,Boys on the Side,Boys on the Side
0,0.0,6715,The Cure,The Cure
0,0.0,18256,Castle Freak,Castle Freak
0,0.0,22625,Circle of Friends,Circle of Friends
27000,3151130.0,2292,Clerks,Clerks
25000000,22200000.0,1909,Don Juan DeMarco,Don Juan DeMarco
55000000,214015089.0,8984,Disclosure,Disclosure
0,0.0,61813,Dream Man,Dream Man
45000000,0.0,4954,Drop Zone,Drop Zone
0,0.0,62488,Destiny Turns on the Radio,Destiny Turns on the Radio
0,0.0,10531,Death and the Maiden,Death and the Maiden
0,0.0,11929,Dolores Claiborne,Dolores Claiborne
16000000,247275374.0,8467,Dumb and Dumber,Dumb and Dumber
0,7294403.0,10451,飲食男女,Eat Drink Man Woman
0,0.0,20156,Exotica,Exotica
0,6841570.0,18395,Exit to Eden,Exit to Eden
18000000,5887457.0,522,Ed Wood,Ed Wood
0,0.0,397,French Kiss,French Kiss
0,0.0,10525,Forget Paris,Forget Paris
0,0.0,27985,Far from Home: The Adventures of Yellow Dog,Far from Home: The Adventures of Yellow Dog
0,35348597.0,15789,A Goofy Movie,A Goofy Movie
15000000,12201255.0,27303,Hideaway,Hideaway
0,0.0,21183,Fluke,Fluke
0,0.0,10954,Farinelli,Farinelli
0,3992809.0,47867,Gordy,Gordy
0,0.0,43475,Gumby: The Movie,Gumby: The Movie
0,0.0,72031,The Glass Shield,The Glass Shield
700000,7830611.0,14275,Hoop Dreams,Hoop Dreams
5000000,3049135.0,1024,Heavenly Creatures,Heavenly Creatures
10500000,26325256.0,17207,Houseguest,Houseguest
120,0.0,13701,Immortal Beloved,Immortal Beloved
0,17689177.0,14819,Heavyweights,Heavyweights
0,0.0,32631,The Hunted,The Hunted
25000000,0.0,11777,I.Q.,I.Q.
60000000,223664608.0,628,Interview with the Vampire,Interview with the Vampire
14000000,2474000.0,87729,Jefferson in Paris,Jefferson in Paris
0,0.0,18713,The Jerky Boys,The Jerky Boys
60000000,37000000.0,6280,Junior,Junior
0,0.0,9061,Just Cause,Just Cause
0,0.0,37108,A Kid in King Arthur's Court,A Kid in King Arthur's Court
40000000,0.0,6071,Kiss of Death,Kiss of Death
11000000,775398007.0,11,Star Wars,Star Wars
18000000,0.0,9587,Little Women,Little Women
17000000,0.0,19101,A Little Princess,A Little Princess
0,0.0,49980,Ladybird Ladybird,Ladybird Ladybird
10000000,0.0,17961,L'Enfer,L'Enfer
2000000,21665468.0,18183,Como agua para chocolate,Like Water for Chocolate
30000000,160638883.0,4476,Legends of the Fall,Legends of the Fall
0,0.0,11008,Major Payne,Major Payne
0,0.0,47504,Little Odessa,Little Odessa
0,0.0,32325,Mi Vida Loca,Mi Vida Loca
60000000,0.0,43742,Love Affair,Love Affair
17000000,7603766.0,28313,Losing Isaiah,Losing Isaiah
0,0.0,11318,The Madness of King George,The Madness of King George
45000000,112006296.0,3036,Frankenstein,Mary Shelley's Frankenstein
0,0.0,40490,Man of the House,Man of the House
15000000,0.0,24070,Mixed Nuts,Mixed Nuts
0,18137661.0,8986,Milk Money,Milk Money
0,46264384.0,10510,Miracle on 34th Street,Miracle on 34th Street
6,5.0,17402,Miami Rhapsody,Miami Rhapsody
5500000,0.0,38722,My Family,My Family
0,17381942.0,8438,Murder in the First,Murder in the First
0,0.0,11593,Nobody's Fool,Nobody's Fool
31000000,106683817.0,1945,Nell,Nell
0,0.0,39310,New Jersey Drive,New Jersey Drive
0,0.0,109560,New York Cop,New York Cop
4800000,0.0,56428,Beyond Bedlam,Beyond Bedlam
0,0.0,63105,Nemesis 2 - Nebula,Nemesis 2 - Nebula
0,0.0,131957,Nina Takes a Lover,Nina Takes a Lover
34000000,50282766.0,241,Natural Born Killers,Natural Born Killers
0,0.0,9058,Only You,Only You
0,2201126.0,527,Once Were Warriors,Once Were Warriors
0,0.0,18220,Poison Ivy II: Lily,Poison Ivy II: Lily
50000000,189859560.0,6950,Outbreak,Outbreak
16000000,45284974.0,101,Léon,Leon: The Professional
11000000,2832826.0,63020,The Perez Family,The Perez Family
0,0.0,2307,A Pyromaniac's Love Story,A Pyromaniac's Love Story
8000000,213928762.0,680,Pulp Fiction,Pulp Fiction
0,6834525.0,41478,Panther,Panther
400000,152322.0,25296,Pushing Hands,Pushing Hands
0,4176932.0,40156,Priest,Priest
0,0.0,11450,Quiz Show,Quiz Show
0,0.0,30304,Picture Bride,Picture Bride
0,0.0,10452,La Reine Margot,Queen Margot
32000000,18552460.0,12106,The Quick and the Dead,The Quick and the Dead
22000000,12400000.0,161495,Roommates,Roommates
15000000,11300653.0,3586,Prêt-à-Porter,Prêt-à-Porter
0,0.0,110,Trois couleurs : Rouge,Three Colors: Red
0,0.0,108,Trois couleurs : Bleu,Three Colors: Blue
0,0.0,109,Trois couleurs : Blanc,Three Colors: White
0,0.0,159185,Pao Da Shuang Deng,"Red Firecracker, Green Firecracker"
0,0.0,36357,Rent-a-Kid,Rent-a-Kid
0,0.0,92769,Relative Fear,Relative Fear
0,0.0,28033,Stuart Saves His Family,Stuart Saves His Family
35000000,9771658.0,22586,The Swan Princess,The Swan Princess
0,0.0,14334,The Secret of Roan Inish,The Secret of Roan Inish
45000000,170362582.0,2636,The Specialist,The Specialist
55000000,196567262.0,2164,Stargate,Stargate
22000000,189833357.0,11395,The Santa Clause,The Santa Clause
25000000,28341469.0,278,The Shawshank Redemption,The Shawshank Redemption
0,0.0,9905,Shallow Grave,Shallow Grave
0,102780.0,87078,Suture,Suture
0,0.0,12527,Fresa y chocolate,Strawberry and Chocolate
0,0.0,20306,Swimming with Sharks,Swimming with Sharks
32,0.0,36614,The Sum of Us,The Sum of Us
0,0.0,27993,Senior Trip,Senior Trip
0,0.0,31439,活着,To Live
25000000,4064495.0,9067,Tank Girl,Tank Girl
0,0.0,9059,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight
38000000,120000000.0,193,Star Trek: Generations,Star Trek: Generations
6000000,12000000.0,25066,Tales from the Hood,Tales from the Hood
0,0.0,46797,Tom & Viv,Tom & Viv
0,0.0,12122,Village of the Damned,Village of the Damned
0,32648673.0,11381,Tommy Boy,Tommy Boy
0,0.0,32636,Vanya on 42nd Street,Vanya on 42nd Street
6500000,0.0,36141,The Underneath,The Underneath
0,0.0,95963,The Walking Dead,The Walking Dead
11000000,10032765.0,1587,What's Eating Gilbert Grape,What's Eating Gilbert Grape
30000000,24048000.0,9271,Virtuosity,Virtuosity
17000000,182057016.0,2064,While You Were Sleeping,While You Were Sleeping
0,0.0,19855,The War,The War
0,759393.0,60855,Double Happiness,Double Happiness
3000000,15119639.0,236,Muriel's Wedding,Muriel's Wedding
0,0.0,48287,The Baby-Sitters Club,The Baby-Sitters Club
15000000,107217396.0,3049,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective
0,11220670.0,2759,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert"
0,0.0,12635,Backbeat,Backbeat
5000000,1862805.0,10497,Bitter Moon,Bitter Moon
0,0.0,11382,Bullets Over Broadway,Bullets Over Broadway
62000000,215887717.0,9331,Clear and Present Danger,Clear and Present Danger
45000000,117615211.0,10731,The Client,The Client
0,0.0,10464,"Corrina, Corrina","Corrina, Corrina"
0,0.0,34152,Crooklyn,Crooklyn
15000000,94000000.0,9495,The Crow,The Crow
0,1007583.0,29973,Cobb,Cobb
46000000,341631208.0,888,The Flintstones,The Flintstones
55000000,677945399.0,13,Forrest Gump,Forrest Gump
6000000,254700832.0,712,Four Weddings and a Funeral,Four Weddings and a Funeral
0,38290723.0,16295,Higher Learning,Higher Learning
0,1777020.0,48992,I Like It Like That,I Like It Like That
45000000,61947267.0,10879,I Love Trouble,I Love Trouble
0,0.0,10660,It Could Happen to You,It Could Happen to You
0,0.0,10714,The Jungle Book,The Jungle Book
0,449707.0,41647,Die Macht der Bilder: Leni Riefenstahl,"The Wonderful, Horrible Life of Leni Riefenstahl"
45000000,788241776.0,8587,The Lion King,The Lion King
35000000,4858139.0,1689,Little Buddha,Little Buddha
14000000,18090181.0,11596,New Nightmare,New Nightmare
23000000,351583407.0,854,The Mask,The Mask
0,0.0,9359,Maverick,Maverick
0,0.0,23333,Mrs. Parker and the Vicious Circle,Mrs. Parker and the Vicious Circle
30000000,51132598.0,36593,The Naked Gun 33⅓: The Final Insult,The Naked Gun 33⅓: The Final Insult
6000000,0.0,12280,The Paper,The Paper
11500000,20079850.0,2788,Reality Bites,Reality Bites
8000000,2000000.0,10427,Red Rock West,Red Rock West
40000000,0.0,11011,Ri¢hie Ri¢h,Ri¢hie Ri¢h
0,0.0,49803,Safe Passage,Safe Passage
45000000,0.0,8987,The River Wild,The River Wild
30000000,350448145.0,1637,Speed,Speed
0,0.0,15128,Speechless,Speechless
27000000,101646581.0,8831,Timecop,Timecop
115000000,378882411.0,36955,True Lies,True Lies
0,50021959.0,10449,When a Man Loves a Woman,When a Man Loves a Woman
0,0.0,10395,Wolf,Wolf
63000000,25052000.0,12160,Wyatt Earp,Wyatt Earp
0,0.0,40480,Bad Company,Bad Company
0,953.0,52038,A Man of No Importance,A Man of No Importance
0,0.0,29444,S.F.W.,S.F.W.
10000000,29392418.0,26352,A Low Down Dirty Shame,A Low Down Dirty Shame
0,0.0,39953,"Boys Life: Three Stories of Love, Lust, and Liberation","Boys Life: Three Stories of Love, Lust, and Liberation"
0,0.0,41580,Le colonel Chabert,Colonel Chabert
45000,0.0,315,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!"
7000000,20851521.0,22067,Jason's Lyric,Jason's Lyric
0,0.0,18242,The Secret Adventures of Tom Thumb,The Secret Adventures of Tom Thumb
35000000,99423521.0,11667,Street Fighter,Street Fighter
0,0.0,32502,Coldblooded,Coldblooded
0,0.0,267188,Desert Winds,Desert Winds
0,0.0,28732,Fall Time,Fall Time
0,0.0,75555,The Fear,The Fear
0,0.0,42981,Frank and Ollie,Frank and Ollie
0,0.0,278939,Girl in the Cadillac,Girl in the Cadillac
0,0.0,291731,Homage,Homage
0,0.0,226229,Mirage,Mirage
0,0.0,203119,Open Season,Open Season
0,0.0,172923,Dos Crímenes,Dos Crímenes
0,0.0,316098,Brother Minister: The Assassination of Malcolm X,Brother Minister: The Assassination of Malcolm X
26000000,36800000.0,8011,Highlander III: The Sorcerer,Highlander: The Final Dimension
0,0.0,171857,Federal Hill,Federal Hill
8000000,8946600.0,2654,In the Mouth of Madness,In the Mouth of Madness
0,0.0,18069,8 Seconds,8 Seconds
0,0.0,19092,Above the Rim,Above the Rim
0,48919043.0,2758,Addams Family Values,Addams Family Values
0,0.0,38129,Martin Lawrence: You So Crazy,Martin Lawrence: You So Crazy
34000000,32255440.0,10436,The Age of Innocence,The Age of Innocence
0,0.0,13595,Airheads,Airheads
17080000,21011500.0,46094,The Air Up There,The Air Up There
0,0.0,9409,Another Stakeout,Another Stakeout
0,15240435.0,11853,Bad Girls,Bad Girls
3200000,0.0,16771,Barcelona,Barcelona
40000000,0.0,46924,Being Human,Being Human
0,0.0,11041,The Beverly Hillbillies,The Beverly Hillbillies
50000000,119208989.0,306,Beverly Hills Cop III,Beverly Hills Cop III
0,0.0,14522,Black Beauty,Black Beauty
0,16668552.0,26203,Blink,Blink
0,30156002.0,178,Blown Away,Blown Away
0,0.0,19819,Blue Chips,Blue Chips
0,0.0,57834,Blue Sky,Blue Sky
13000000,428868.0,4722,Body Snatchers,Body Snatchers
0,1796389.0,18215,Boxing Helena,Boxing Helena
22000000,17287898.0,1607,A Bronx Tale,A Bronx Tale
0,3662459.0,26391,Cabin Boy,Cabin Boy
13000000,2570145.0,117553,Calendar Girl,Calendar Girl
30000000,36516012.0,6075,Carlito's Way,Carlito's Way
0,0.0,11310,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold
0,7355425.0,18658,Clean Slate,Clean Slate
70000000,255000211.0,9350,Cliffhanger,Cliffhanger
0,0.0,9612,Coneheads,Coneheads
40000000,19726050.0,2124,Color of Night,Color of Night
0,0.0,26261,Cops & Robbersons,Cops & Robbersons
0,0.0,19176,The Cowboy Way,The Cowboy Way
0,0.0,49299,Dangerous Game,Dangerous Game
0,63000000.0,11566,Dave,Dave
6900000,7993039.0,9571,Dazed and Confused,Dazed and Confused
57000000,159055768.0,9739,Demolition Man,Demolition Man
0,0.0,24257,The Endless Summer 2,The Endless Summer 2
8000000,0.0,34444,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues
0,0.0,26141,Fatal Instinct,Fatal Instinct
0,0.0,10997,霸王别姬,Farewell My Concubine
0,0.0,50463,The Favor,The Favor
0,0.0,10443,Fearless,Fearless
0,0.0,20239,Fear of a Black Hat,Fear of a Black Hat
0,0.0,16297,With Honors,With Honors
0,9488998.0,18551,Flesh and Bone,Flesh and Bone
0,0.0,25440,Widows' Peak,Widows' Peak
30000000,11146270.0,9024,For Love or Money,For Love or Money
42000000,270248367.0,37233,The Firm,The Firm
20000000,153698625.0,1634,Free Willy,Free Willy
0,0.0,13815,Fresh,Fresh
44000000,368875760.0,5503,The Fugitive,The Fugitive
35000000,18635620.0,35588,Geronimo: An American Legend,Geronimo: An American Legend
0,30.0,2087,The Getaway,The Getaway
30000000,0.0,41579,Getting Even with Dad,Getting Even with Dad
0,0.0,18620,Go Fish,Go Fish
0,0.0,41006,A Good Man in Africa,A Good Man in Africa
0,22886222.0,4916,Guilty as Sin,Guilty as Sin
18000000,74189677.0,2019,Hard Target,Hard Target
33000000,0.0,31642,Heaven & Earth,Heaven & Earth
25000000,133752825.0,9255,Hot Shots! Part Deux,Hot Shots! Part Deux
0,0.0,26271,Live Nude Girls,Live Nude Girls
0,0.0,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain
25000000,0.0,2259,The House of the Spirits,The House of the Spirits
0,0.0,16097,House Party 3,House Party 3
30000000,0.0,11934,The Hudsucker Proxy,The Hudsucker Proxy
40000000,0.0,106143,I'll Do Anything,I'll Do Anything
0,28881266.0,12475,In the Army Now,In the Army Now
40000000,176997168.0,9386,In the Line of Fire,In the Line of Fire
13000000,65796862.0,7984,In the Name of the Father,In the Name of the Father
0,8880705.0,59930,The Inkwell,The Inkwell
0,0.0,15765,What's Love Got to Do with It,What's Love Got to Do with It
30000000,0.0,31643,Jimmy Hollywood,Jimmy Hollywood
0,12136938.0,6,Judgment Night,Judgment Night
63000000,920100000.0,329,Jurassic Park,Jurassic Park
9000000,2395231.0,10909,Kalifornia,Kalifornia
1500000,418961.0,507,Killing Zoe,Killing Zoe
0,0.0,34024,King of the Hill,King of the Hill
0,0.0,29918,Lassie,Lassie
85000000,137298489.0,9593,Last Action Hero,Last Action Hero
0,0.0,42580,Life With Mikey,Life With Mikey
0,0.0,22317,Lightning Jack,Lightning Jack
0,1499795.0,1413,M. Butterfly,M. Butterfly
22000000,0.0,12121,Made in America,Made in America
0,46405336.0,2246,Malice,Malice
0,24760338.0,10502,The Man without a Face,The Man without a Face
13500000,11285588.0,10440,Manhattan Murder Mystery,Manhattan Murder Mystery
3500000,27900000.0,9516,Menace II Society,Menace II Society
55000000,121969216.0,2320,Executive Decision,Executive Decision
0,0.0,5879,愛のコリーダ,In the Realm of the Senses
0,0.0,83718,What Happened Was...,What Happened Was...
8000000,0.0,11971,Much Ado About Nothing,Much Ado About Nothing
0,0.0,2625,Mr. Jones,Mr. Jones
0,0.0,31911,Mr. Wonderful,Mr. Wonderful
25000000,441286195.0,788,Mrs. Doubtfire,Mrs. Doubtfire
0,0.0,21450,Naked,Naked
12000000,15826984.0,11231,The Next Karate Kid,The Next Karate Kid
0,0.0,41588,The New Age,The New Age
20000000,15340000.0,10447,No Escape,No Escape
40000000,0.0,31586,North,North
4000000,0.0,9300,Orlando,Orlando
30000000,135130999.0,9559,A Perfect World,A Perfect World
26000000,206678440.0,9800,Philadelphia,Philadelphia
7000000,116700000.0,713,The Piano,The Piano
