,budget,revenue,id,original_title,title
187,0,0.0,32646,Safe,Safe
188,50000000,10382407.0,10533,The Scarlet Letter,The Scarlet Letter
189,0,0.0,56088,The Show,The Show
190,45000000,20350754.0,10802,Showgirls,Showgirls
191,7000000,8349430.0,10149,Smoke,Smoke
192,0,50892160.0,18402,Something to Talk About,Something to Talk About
193,35000000,113374103.0,9348,Species,Species
194,0,0.0,139408,The Stars Fell on Henrietta,The Stars Fell on Henrietta
195,42000000,7959291.0,281,Strange Days,Strange Days
196,0,0.0,5967,Les parapluies de Cherbourg,The Umbrellas of Cherbourg
197,14000000,5780000.0,79593,The Tie That Binds,The Tie That Binds
198,0,7025496.0,47939,Three Wishes,Three Wishes
199,0,339889.0,36834,Total Eclipse,Total Eclipse
200,0,47774193.0,9090,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar"
201,60000000,104324083.0,3512,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory
202,0,0.0,52856,Unstrung Heroes,Unstrung Heroes
203,0,0.0,77350,Unzipped,Unzipped
204,20000000,50012507.0,9560,A Walk in the Clouds,A Walk in the Clouds
205,175000000,264218220.0,9804,Waterworld,Waterworld
206,8000000,0.0,31611,White Man's Burden,White Man's Burden
207,30000000,0.0,65796,Wild Bill,Wild Bill
208,0,0.0,49805,The Browning Version,The Browning Version
209,0,0.0,26258,Bushwhacked,Bushwhacked
210,2800000,2616503.0,50797,Утомлённые солнцем,Burnt by the Sun
211,0,763847.0,19155,Before the Rain,Before the Rain
212,2500000,5535405.0,76,Before Sunrise,Before Sunrise
213,10000000,26488734.0,11017,Billy Madison,Billy Madison
214,0,0.0,37141,The Babysitter,The Babysitter
215,21000000,23450000.0,9382,Boys on the Side,Boys on the Side
216,0,0.0,6715,The Cure,The Cure
217,0,0.0,18256,Castle Freak,Castle Freak
218,0,0.0,22625,Circle of Friends,Circle of Friends
219,27000,3151130.0,2292,Clerks,Clerks
220,25000000,22200000.0,1909,Don Juan DeMarco,Don Juan DeMarco
221,55000000,214015089.0,8984,Disclosure,Disclosure
222,0,0.0,61813,Dream Man,Dream Man
223,45000000,0.0,4954,Drop Zone,Drop Zone
224,0,0.0,62488,Destiny Turns on the Radio,Destiny Turns on the Radio
225,0,0.0,10531,Death and the Maiden,Death and the Maiden
226,0,0.0,11929,Dolores Claiborne,Dolores Claiborne
227,16000000,247275374.0,8467,Dumb and Dumber,Dumb and Dumber
228,0,7294403.0,10451,飲食男女,Eat Drink Man Woman
229,0,0.0,20156,Exotica,Exotica
230,0,6841570.0,18395,Exit to Eden,Exit to Eden
231,18000000,5887457.0,522,Ed Wood,Ed Wood
232,0,0.0,397,French Kiss,French Kiss
233,0,0.0,10525,Forget Paris,Forget Paris
234,0,0.0,27985,Far from Home: The Adventures of Yellow Dog,Far from Home: The Adventures of Yellow Dog
235,0,35348597.0,15789,A Goofy Movie,A Goofy Movie
236,15000000,12201255.0,27303,Hideaway,Hideaway
237,0,0.0,21183,Fluke,Fluke
238,0,0.0,10954,Farinelli,Farinelli
239,0,3992809.0,47867,Gordy,Gordy
240,0,0.0,43475,Gumby: The Movie,Gumby: The Movie
241,0,0.0,72031,The Glass Shield,The Glass Shield
242,700000,7830611.0,14275,Hoop Dreams,Hoop Dreams
243,5000000,3049135.0,1024,Heavenly Creatures,Heavenly Creatures
244,10500000,26325256.0,17207,Houseguest,Houseguest
245,120,0.0,13701,Immortal Beloved,Immortal Beloved
246,0,17689177.0,14819,Heavyweights,Heavyweights
247,0,0.0,32631,The Hunted,The Hunted
248,25000000,0.0,11777,I.Q.,I.Q.
249,60000000,223664608.0,628,Interview with the Vampire,Interview with the Vampire
250,14000000,2474000.0,87729,Jefferson in Paris,Jefferson in Paris
251,0,0.0,18713,The Jerky Boys,The Jerky Boys
252,60000000,37000000.0,6280,Junior,Junior
253,0,0.0,9061,Just Cause,Just Cause
254,0,0.0,37108,A Kid in King Arthur's Court,A Kid in King Arthur's Court
255,40000000,0.0,6071,Kiss of Death,Kiss of Death
256,11000000,775398007.0,11,Star Wars,Star Wars
257,18000000,0.0,9587,Little Women,Little Women
258,17000000,0.0,19101,A Little Princess,A Little Princess
259,0,0.0,49980,Ladybird Ladybird,Ladybird Ladybird
260,10000000,0.0,17961,L'Enfer,L'Enfer
261,2000000,21665468.0,18183,Como agua para chocolate,Like Water for Chocolate
262,30000000,160638883.0,4476,Legends of the Fall,Legends of the Fall
263,0,0.0,11008,Major Payne,Major Payne
264,0,0.0,47504,Little Odessa,Little Odessa
265,0,0.0,32325,Mi Vida Loca,Mi Vida Loca
266,60000000,0.0,43742,Love Affair,Love Affair
267,17000000,7603766.0,28313,Losing Isaiah,Losing Isaiah
268,0,0.0,11318,The Madness of King George,The Madness of King George
269,45000000,112006296.0,3036,Frankenstein,Mary Shelley's Frankenstein
270,0,0.0,40490,Man of the House,Man of the House
271,15000000,0.0,24070,Mixed Nuts,Mixed Nuts
272,0,18137661.0,8986,Milk Money,Milk Money
273,0,46264384.0,10510,Miracle on 34th Street,Miracle on 34th Street
274,6,5.0,17402,Miami Rhapsody,Miami Rhapsody
275,5500000,0.0,38722,My Family,My Family
276,0,17381942.0,8438,Murder in the First,Murder in the First
277,0,0.0,11593,Nobody's Fool,Nobody's Fool
278,31000000,106683817.0,1945,Nell,Nell
279,0,0.0,39310,New Jersey Drive,New Jersey Drive
280,0,0.0,109560,New York Cop,New York Cop
281,4800000,0.0,56428,Beyond Bedlam,Beyond Bedlam
282,0,0.0,63105,Nemesis 2 - Nebula,Nemesis 2 - Nebula
283,0,0.0,131957,Nina Takes a Lover,Nina Takes a Lover
284,34000000,50282766.0,241,Natural Born Killers,Natural Born Killers
285,0,0.0,9058,Only You,Only You
286,0,2201126.0,527,Once Were Warriors,Once Were Warriors
287,0,0.0,18220,Poison Ivy II: Lily,Poison Ivy II: Lily
288,50000000,189859560.0,6950,Outbreak,Outbreak
289,16000000,45284974.0,101,Léon,Leon: The Professional
290,11000000,2832826.0,63020,The Perez Family,The Perez Family
291,0,0.0,2307,A Pyromaniac's Love Story,A Pyromaniac's Love Story
292,8000000,213928762.0,680,Pulp Fiction,Pulp Fiction
293,0,6834525.0,41478,Panther,Panther
294,400000,152322.0,25296,Pushing Hands,Pushing Hands
295,0,4176932.0,40156,Priest,Priest
296,0,0.0,11450,Quiz Show,Quiz Show
297,0,0.0,30304,Picture Bride,Picture Bride
298,0,0.0,10452,La Reine Margot,Queen Margot
299,32000000,18552460.0,12106,The Quick and the Dead,The Quick and the Dead
300,22000000,12400000.0,161495,Roommates,Roommates
301,15000000,11300653.0,3586,Prêt-à-Porter,Prêt-à-Porter
302,0,0.0,110,Trois couleurs : Rouge,Three Colors: Red
303,0,0.0,108,Trois couleurs : Bleu,Three Colors: Blue
304,0,0.0,109,Trois couleurs : Blanc,Three Colors: White
305,0,0.0,159185,Pao Da Shuang Deng,"Red Firecracker, Green Firecracker"
306,0,0.0,36357,Rent-a-Kid,Rent-a-Kid
307,0,0.0,92769,Relative Fear,Relative Fear
308,0,0.0,28033,Stuart Saves His Family,Stuart Saves His Family
309,35000000,9771658.0,22586,The Swan Princess,The Swan Princess
310,0,0.0,14334,The Secret of Roan Inish,The Secret of Roan Inish
311,45000000,170362582.0,2636,The Specialist,The Specialist
312,55000000,196567262.0,2164,Stargate,Stargate
313,22000000,189833357.0,11395,The Santa Clause,The Santa Clause
314,25000000,28341469.0,278,The Shawshank Redemption,The Shawshank Redemption
315,0,0.0,9905,Shallow Grave,Shallow Grave
316,0,102780.0,87078,Suture,Suture
317,0,0.0,12527,Fresa y chocolate,Strawberry and Chocolate
318,0,0.0,20306,Swimming with Sharks,Swimming with Sharks
319,32,0.0,36614,The Sum of Us,The Sum of Us
320,0,0.0,27993,Senior Trip,Senior Trip
321,0,0.0,31439,活着,To Live
322,25000000,4064495.0,9067,Tank Girl,Tank Girl
323,0,0.0,9059,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight
324,38000000,120000000.0,193,Star Trek: Generations,Star Trek: Generations
325,6000000,12000000.0,25066,Tales from the Hood,Tales from the Hood
326,0,0.0,46797,Tom & Viv,Tom & Viv
327,0,0.0,12122,Village of the Damned,Village of the Damned
328,0,32648673.0,11381,Tommy Boy,Tommy Boy
329,0,0.0,32636,Vanya on 42nd Street,Vanya on 42nd Street
330,6500000,0.0,36141,The Underneath,The Underneath
331,0,0.0,95963,The Walking Dead,The Walking Dead
332,11000000,10032765.0,1587,What's Eating Gilbert Grape,What's Eating Gilbert Grape
333,30000000,24048000.0,9271,Virtuosity,Virtuosity
334,17000000,182057016.0,2064,While You Were Sleeping,While You Were Sleeping
335,0,0.0,19855,The War,The War
336,0,759393.0,60855,Double Happiness,Double Happiness
337,3000000,15119639.0,236,Muriel's Wedding,Muriel's Wedding
338,0,0.0,48287,The Baby-Sitters Club,The Baby-Sitters Club
339,15000000,107217396.0,3049,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective
340,0,11220670.0,2759,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert"
341,0,0.0,12635,Backbeat,Backbeat
342,5000000,1862805.0,10497,Bitter Moon,Bitter Moon
343,0,0.0,11382,Bullets Over Broadway,Bullets Over Broadway
344,62000000,215887717.0,9331,Clear and Present Danger,Clear and Present Danger
345,45000000,117615211.0,10731,The Client,The Client
346,0,0.0,10464,"Corrina, Corrina","Corrina, Corrina"
347,0,0.0,34152,Crooklyn,Crooklyn
348,15000000,94000000.0,9495,The Crow,The Crow
349,0,1007583.0,29973,Cobb,Cobb
350,46000000,341631208.0,888,The Flintstones,The Flintstones
351,55000000,677945399.0,13,Forrest Gump,Forrest Gump
352,6000000,254700832.0,712,Four Weddings and a Funeral,Four Weddings and a Funeral
353,0,38290723.0,16295,Higher Learning,Higher Learning
354,0,1777020.0,48992,I Like It Like That,I Like It Like That
355,45000000,61947267.0,10879,I Love Trouble,I Love Trouble
356,0,0.0,10660,It Could Happen to You,It Could Happen to You
357,0,0.0,10714,The Jungle Book,The Jungle Book
358,0,449707.0,41647,Die Macht der Bilder: Leni Riefenstahl,"The Wonderful, Horrible Life of Leni Riefenstahl"
359,45000000,788241776.0,8587,The Lion King,The Lion King
360,35000000,4858139.0,1689,Little Buddha,Little Buddha
361,14000000,18090181.0,11596,New Nightmare,New Nightmare
362,23000000,351583407.0,854,The Mask,The Mask
363,0,0.0,9359,Maverick,Maverick
364,0,0.0,23333,Mrs. Parker and the Vicious Circle,Mrs. Parker and the Vicious Circle
365,30000000,51132598.0,36593,The Naked Gun 33⅓: The Final Insult,The Naked Gun 33⅓: The Final Insult
366,6000000,0.0,12280,The Paper,The Paper
367,11500000,20079850.0,2788,Reality Bites,Reality Bites
368,8000000,2000000.0,10427,Red Rock West,Red Rock West
369,40000000,0.0,11011,Ri¢hie Ri¢h,Ri¢hie Ri¢h
370,0,0.0,49803,Safe Passage,Safe Passage
371,45000000,0.0,8987,The River Wild,The River Wild
372,30000000,350448145.0,1637,Speed,Speed
373,0,0.0,15128,Speechless,Speechless
374,27000000,101646581.0,8831,Timecop,Timecop
375,115000000,378882411.0,36955,True Lies,True Lies
376,0,50021959.0,10449,When a Man Loves a Woman,When a Man Loves a Woman
377,0,0.0,10395,Wolf,Wolf
378,63000000,25052000.0,12160,Wyatt Earp,Wyatt Earp
379,0,0.0,40480,Bad Company,Bad Company
380,0,953.0,52038,A Man of No Importance,A Man of No Importance
381,0,0.0,29444,S.F.W.,S.F.W.
382,10000000,29392418.0,26352,A Low Down Dirty Shame,A Low Down Dirty Shame
383,0,0.0,39953,"Boys Life: Three Stories of Love, Lust, and Liberation","Boys Life: Three Stories of Love, Lust, and Liberation"
384,0,0.0,41580,Le colonel Chabert,Colonel Chabert
385,45000,0.0,315,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!"
386,7000000,20851521.0,22067,Jason's Lyric,Jason's Lyric
387,0,0.0,18242,The Secret Adventures of Tom Thumb,The Secret Adventures of Tom Thumb
388,35000000,99423521.0,11667,Street Fighter,Street Fighter
389,0,0.0,32502,Coldblooded,Coldblooded
390,0,0.0,267188,Desert Winds,Desert Winds
391,0,0.0,28732,Fall Time,Fall Time
392,0,0.0,75555,The Fear,The Fear
393,0,0.0,42981,Frank and Ollie,Frank and Ollie
394,0,0.0,278939,Girl in the Cadillac,Girl in the Cadillac
395,0,0.0,291731,Homage,Homage
396,0,0.0,226229,Mirage,Mirage
397,0,0.0,203119,Open Season,Open Season
398,0,0.0,172923,Dos Crímenes,Dos Crímenes
399,0,0.0,316098,Brother Minister: The Assassination of Malcolm X,Brother Minister: The Assassination of Malcolm X
400,26000000,36800000.0,8011,Highlander III: The Sorcerer,Highlander: The Final Dimension
401,0,0.0,171857,Federal Hill,Federal Hill
402,8000000,8946600.0,2654,In the Mouth of Madness,In the Mouth of Madness
403,0,0.0,18069,8 Seconds,8 Seconds
404,0,0.0,19092,Above the Rim,Above the Rim
405,0,48919043.0,2758,Addams Family Values,Addams Family Values
406,0,0.0,38129,Martin Lawrence: You So Crazy,Martin Lawrence: You So Crazy
407,34000000,32255440.0,10436,The Age of Innocence,The Age of Innocence
408,0,0.0,13595,Airheads,Airheads
409,17080000,21011500.0,46094,The Air Up There,The Air Up There
410,0,0.0,9409,Another Stakeout,Another Stakeout
411,0,15240435.0,11853,Bad Girls,Bad Girls
412,3200000,0.0,16771,Barcelona,Barcelona
413,40000000,0.0,46924,Being Human,Being Human
414,0,0.0,11041,The Beverly Hillbillies,The Beverly Hillbillies
415,50000000,119208989.0,306,Beverly Hills Cop III,Beverly Hills Cop III
416,0,0.0,14522,Black Beauty,Black Beauty
417,0,16668552.0,26203,Blink,Blink
418,0,30156002.0,178,Blown Away,Blown Away
419,0,0.0,19819,Blue Chips,Blue Chips
420,0,0.0,57834,Blue Sky,Blue Sky
421,13000000,428868.0,4722,Body Snatchers,Body Snatchers
422,0,1796389.0,18215,Boxing Helena,Boxing Helena
423,22000000,17287898.0,1607,A Bronx Tale,A Bronx Tale
424,0,3662459.0,26391,Cabin Boy,Cabin Boy
425,13000000,2570145.0,117553,Calendar Girl,Calendar Girl
426,30000000,36516012.0,6075,Carlito's Way,Carlito's Way
427,0,0.0,11310,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold
428,0,7355425.0,18658,Clean Slate,Clean Slate
429,70000000,255000211.0,9350,Cliffhanger,Cliffhanger
430,0,0.0,9612,Coneheads,Coneheads
431,40000000,19726050.0,2124,Color of Night,Color of Night
432,0,0.0,26261,Cops & Robbersons,Cops & Robbersons
433,0,0.0,19176,The Cowboy Way,The Cowboy Way
434,0,0.0,49299,Dangerous Game,Dangerous Game
435,0,63000000.0,11566,Dave,Dave
436,6900000,7993039.0,9571,Dazed and Confused,Dazed and Confused
437,57000000,159055768.0,9739,Demolition Man,Demolition Man
438,0,0.0,24257,The Endless Summer 2,The Endless Summer 2
439,8000000,0.0,34444,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues
440,0,0.0,26141,Fatal Instinct,Fatal Instinct
441,0,0.0,10997,霸王别姬,Farewell My Concubine
442,0,0.0,50463,The Favor,The Favor
443,0,0.0,10443,Fearless,Fearless
444,0,0.0,20239,Fear of a Black Hat,Fear of a Black Hat
445,0,0.0,16297,With Honors,With Honors
446,0,9488998.0,18551,Flesh and Bone,Flesh and Bone
447,0,0.0,25440,Widows' Peak,Widows' Peak
448,30000000,11146270.0,9024,For Love or Money,For Love or Money
449,42000000,270248367.0,37233,The Firm,The Firm
450,20000000,153698625.0,1634,Free Willy,Free Willy
451,0,0.0,13815,Fresh,Fresh
452,44000000,368875760.0,5503,The Fugitive,The Fugitive
453,35000000,18635620.0,35588,Geronimo: An American Legend,Geronimo: An American Legend
454,0,30.0,2087,The Getaway,The Getaway
455,30000000,0.0,41579,Getting Even with Dad,Getting Even with Dad
456,0,0.0,18620,Go Fish,Go Fish
457,0,0.0,41006,A Good Man in Africa,A Good Man in Africa
458,0,22886222.0,4916,Guilty as Sin,Guilty as Sin
459,18000000,74189677.0,2019,Hard Target,Hard Target
460,33000000,0.0,31642,Heaven & Earth,Heaven & Earth
461,25000000,133752825.0,9255,Hot Shots! Part Deux,Hot Shots! Part Deux
462,0,0.0,26271,Live Nude Girls,Live Nude Girls
463,0,0.0,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain
464,25000000,0.0,2259,The House of the Spirits,The House of the Spirits
465,0,0.0,16097,House Party 3,House Party 3
466,30000000,0.0,11934,The Hudsucker Proxy,The Hudsucker Proxy
467,40000000,0.0,106143,I'll Do Anything,I'll Do Anything
468,0,28881266.0,12475,In the Army Now,In the Army Now
469,40000000,176997168.0,9386,In the Line of Fire,In the Line of Fire
